N,Time
100,0.00346750
200,0.00327807
300,0.00563915
400,0.00707624
500,0.01291601
600,0.01848073
700,0.02296045
800,0.02750076
900,0.03963940
1000,0.07323553
1100,0.05587481
1200,0.09182679
1300,0.10763355
1400,0.14724758
1500,0.18028157
1600,0.12989975
1700,0.16707910
1800,0.19414526
1900,0.21130302
2000,0.24191082
2100,0.37963136
2200,0.35743420
2300,0.35210548
2400,0.44868743
2500,0.51107586
2600,0.39252228
2700,0.50749154
2800,0.60575936
2900,0.62615983
3000,0.78573784
3100,0.76309070
3200,0.95418277
3300,1.00501340
3400,0.94314928
3500,1.00744109
3600,1.05554489
3700,1.00988526
3800,1.07231885
3900,1.06496641
4000,1.32869490
4100,1.33056862
4200,1.47663436
4300,1.44261307
4400,1.40037031
4500,1.45014247
4600,1.64774094
4700,1.66108740
4800,1.94368389
4900,2.13818901
5000,2.05239754
