N,Time
100,0.0203452
200,0.02196
300,0.0409862
400,0.0582159
500,0.073502
600,0.1363657
700,0.1648921
800,0.1968834
900,0.2531926
1000,0.4629156
1100,0.4528605
1200,0.6793243
1300,0.5981785
1400,0.9483762
1500,0.9478472
1600,1.2757801
1700,1.2892468
1800,1.6785641
1900,1.8986811
2000,1.9740887
2100,2.07011
2200,2.7910982
2300,3.0250612
2400,3.9789674
2500,2.9244016
2600,3.2268534
2700,3.4980866
2800,4.0406192
2900,3.9058227
3000,4.9114085
3100,4.8502884
3200,5.157705
3300,5.7918947
3400,6.3281706
3500,6.7479219
3600,6.7141565
3700,7.198773
3800,7.9434429
3900,8.2337264
4000,8.8847463
4100,8.8821523
4200,8.774216
4300,10.6592725
4400,10.6154287
4500,11.8204463
4600,11.4089144
4700,11.5569688
4800,12.4705443
4900,13.6313688
5000,13.2328274
